"stop_id","stop_name","stop_lat","stop_lon","location_type","platform_code"
"244612","Neckarstadt West","49.5036539","8.4606839","0","C"
"244621","Neckarstadt West","49.5028889","8.4599381","0","A"
"244721","Abendakademie","49.4915819","8.4696311","0","A"
"244722","Abendakademie","49.4918269","8.4700531","0","B"
"244811","Neckarvorlandstraße","49.5044531","8.444325","0","A"
"244901","Neuer Meßplatz","49.5048839","8.4699811","0","A"
"244902","Neuer Meßplatz","49.5053631","8.4699989","0","B"
"245011","Otto-Beck-Straße","49.4806519","8.4849019","0","A"
"245012","Otto-Beck-Straße","49.4805819","8.48422","0","B"
"245013","Otto-Beck-Straße","49.481335","8.4842911","0","C"
"245014","Otto-Beck-Straße","49.4810661","8.4842289","0","D"
"245121","Paradeplatz","49.4875381","8.46602","0","A"
"245122","Paradeplatz","49.4871181","8.465535","0","B"
"245123","Paradeplatz","49.4876081","8.4666569","0","C"
"245124","Paradeplatz","49.4872231","8.4675019","0","D"
"245221","Pestalozzischule","49.478615","8.4824231","0","A"
"245222","Pestalozzischule","49.4787611","8.482135","0","B"
"245301","Planetarium","49.4766189","8.489475","0","A"
"245302","Planetarium","49.4766711","8.4902919","0","B"
"245311","Planetarium","49.4765139","8.4889719","0","C"
"245312","Planetarium","49.4765311","8.4897619","0","D"
"245412","Bäckerweg","49.5049781","8.5063989","0","B"
"245801","MA Rheinstraße","49.4908939","8.4576739","0","C"
"245802","MA Rheinstraße","49.4911331","8.4580339","0","D"
"245803","MA Rheinstraße","49.49087","8.4580969","0","A"
"245804","MA Rheinstraße","49.4909811","8.4579261","0","B"
"245815","MA Rheinstraße","49.4912261","8.4596239","0","E"
"245901","Rosengarten","49.4852861","8.4752811","0","A"
"245902","Rosengarten","49.4857181","8.4756411","0","B"
"245912","Rosengarten","49.4858981","8.4759911","0","C"
"246011","Sandgewann","49.5099831","8.483195","0","A"
"246012","Sandgewann","49.5099181","8.4835369","0","B"
"246201","MA Schloss","49.4851811","8.4638639","0","A"
"246202","MA Schloss","49.4846319","8.4631811","0","B"
"246211","MA Schloss","49.4846611","8.4621389","0","D"
"246212","MA Schloss","49.4847369","8.4625339","0","C"
"246311","Therese-Blase-Straße","49.5030931","8.5266919","0","B"
"246312","Therese-Blase-Straße","49.50307","8.5267639","0","A"
"246401","Pfeifferswörth","49.4895219","8.5011711","0","A"
"246402","Pfeifferswörth","49.4894","8.5016919","0","B"
"246411","Pfeifferswörth","49.48968","8.5017819","0","C"
"246413","Pfeifferswörth","49.4895569","8.5024911","0","D"
"246414","Pfeifferswörth","49.4893361","8.5009369","0","E"
"246521","Strohmarkt","49.4863831","8.4698019","0","A"
"246522","Strohmarkt","49.4861789","8.470125","0","B"
"246601","Tattersall","49.48193","8.4727211","0","D"
"246602","Tattersall","49.4815969","8.4734489","0","E"
"246612","Tattersall","49.4820289","8.4755511","0","H"
"246711","Teufelsbrücke","49.4945289","8.4571261","0","A"
"246712","Teufelsbrücke","49.4940331","8.4570719","0","B"
"246811","Ida-Dehmel-Ring","49.5046919","8.5311481","0","A"
"246812","Ida-Dehmel-Ring","49.5048489","8.5309681","0","B"
"246911","TÜV","49.4977089","8.5044139","0","A"
"246912","TÜV","49.4978019","8.5043061","0","B"
"247001","Ulmenweg","49.5073931","8.4930139","0","A"
"247002","Ulmenweg","49.5077019","8.4936069","0","B"
"247011","Ulmenweg","49.5070889","8.4927361","0","C"
"247012","Ulmenweg","49.5073931","8.4933369","0","D"
"247121","Universität","49.4826711","8.4653731","0","A"
"247122","Universität","49.4815739","8.4656239","0","B"
"247201","Untermühlaustraße","49.5106831","8.4712481","0","A"
"247202","Untermühlaustraße","49.5113481","8.4714719","0","B"
"247212","Untermühlaustraße","49.51133","8.4715889","0","D"
"247312","Verlängerte Jungbuschstraße","49.4946981","8.4522219","0","A"
"247412","Wasserwerkstraße","49.51438","8.5214911","0","A"
"247513","Wasserturm","49.48486","8.474715","0","C"
"247514","Wasserturm","49.4841589","8.4740511","0","D"
"247516","Wasserturm","49.4833311","8.4738711","0","E"
"247521","Wasserturm","49.4849881","8.4732239","0","A"
"247522","Wasserturm","49.4846669","8.4738169","0","B"
"247621","Weberstraße","49.4764731","8.48607","0","A"
"247622","Weberstraße","49.47649","8.4857381","0","B"
"247721","Werderstraße","49.48109","8.476755","0","A"
"247722","Werderstraße","49.480605","8.4782369","0","B"
"248011","August-Bebel-Straße","49.4667131","8.4802939","0","A"
"248012","August-Bebel-Straße","49.4667769","8.4800689","0","B"
"248101","Neckarau Bahnhof","49.4554031","8.4942989","0","A"
"248102","Neckarau Bahnhof","49.4554961","8.4941281","0","B"
"248113","Neckarau Bahnhof","49.4552631","8.4952239","0","E"
"248114","Neckarau Bahnhof","49.4550119","8.4954311","0","F"
"248212","MA Ladenburger Straße","49.5121411","8.5205111","0","A"
"248301","Dannstadter Straße","49.4463389","8.5089589","0","A"
"248302","Dannstadter Straße","49.4460411","8.5093269","0","B"
"248411","Ausgasse","49.5481089","8.4389981","0","A"
"248511","Sandhofen Rathaus","49.5450081","8.4431669","0","A"
"248611","Neckarau Friedhof","49.455035","8.501575","0","B"
"248612","Neckarau Friedhof","49.4548069","8.5011169","0","A"
"248701","Friedrichstraße","49.4536281","8.4951339","0","A"
"248702","Friedrichstraße","49.4532661","8.4954039","0","B"
"248711","Friedrichstraße","49.45378","8.4943081","0","D"
"248712","Friedrichstraße","49.453295","8.4950981","0","C"
"248801","Freiheitsplatz","49.4595081","8.4793961","0","A"
"248802","Freiheitsplatz","49.4590519","8.4796561","0","B"
"248811","Freiheitsplatz","49.4595781","8.4795119","0","C"
"248911","Helmertstraße","49.4542639","8.5136211","0","B"
"248912","Helmertstraße","49.4542119","8.5138819","0","A"
"249111","Im Morchhof","49.4559281","8.5045389","0","B"
"249112","Im Morchhof","49.4557361","8.5053569","0","A"
"249113","Im Morchhof","49.4558989","8.5053931","0","C"
"249201","Isarweg","49.4494231","8.5025631","0","A"
"249202","Isarweg","49.4490611","8.5032189","0","B"
"249401","Lettestraße","49.4653869","8.4868519","0","A"
"249402","Lettestraße","49.4654461","8.4866811","0","B"
"249511","Mallaustraße","49.4543231","8.5096781","0","B"
"249512","Mallaustraße","49.4542119","8.5099919","0","A"
"249611","Neckarau Marktplatz","49.4532189","8.4917289","0","B"
"249612","Neckarau Marktplatz","49.45305","8.4918911","0","A"
"249701","Markuskirche","49.4646219","8.4755961","0","A"
"249702","Markuskirche","49.4652411","8.4750569","0","B"
"249711","Markuskirche","49.4647631","8.475335","0","C"
"249712","Markuskirche","49.4649731","8.4751289","0","D"
"249713","Markuskirche","49.4646219","8.4758381","0","E"
"249811","Matthäuskirche","49.4539081","8.4885219","0","B"
"249812","Matthäuskirche","49.4539839","8.488055","0","A"
"249913","MA Hochschule","49.4682189","8.4833839","0","C"
"249921","MA Hochschule","49.469935","8.4840219","0","A"
"249922","MA Hochschule","49.4694211","8.48386","0","B"
"250021","Windeckstraße","49.474535","8.46876","0","A"
"250022","Windeckstraße","49.4738931","8.468795","0","B"
"250101","Rheingoldhalle","49.4499539","8.4694239","0","A"
"250311","Holzweg","49.45173","8.5614119","0","A"
"250502","Diesterwegschule","49.4710031","8.4700261","0","B"
"250521","Diesterwegschule","49.4715639","8.4698639","0","A"
"250601","Voltastraße","49.46161","8.4899869","0","A"
"250602","Voltastraße","49.4610731","8.4902739","0","B"
"250701","Neckarau West","49.4556661","8.48192","0","A"
"250702","Neckarau West","49.4550931","8.481875","0","B"
"250711","Neckarau West","49.4551811","8.4820011","0","C"
"250811","Hafenpark","49.5099711","8.4659481","0","A"
"250812","Hafenpark","49.5105889","8.46717","0","B"
"250911","Industriestraße","49.5056719","8.4599469","0","A"
"250912","Industriestraße","49.5064589","8.4610339","0","B"
"251011","Fardelystraße","49.5040681","8.4585281","0","A"
"251012","Fardelystraße","49.5038289","8.4576919","0","B"
"251111","Lochgärten","49.4701389","8.4996711","0","A"
"251112","Lochgärten","49.46997","8.499545","0","B"
"251311","Teufelsloch","49.4728711","8.5013861","0","A"
"251312","Teufelsloch","49.4728131","8.5013319","0","B"
"251411","Am Schäferstock","49.474885","8.5042339","0","A"
"251412","Am Schäferstock","49.47506","8.5033361","0","B"
"251521","Harrlach","49.4781419","8.5063989","0","A"
"251522","Harrlach","49.4782469","8.5067939","0","B"
"251621","Kopernikusstraße","49.4783411","8.4776981","0","A"
"251622","Kopernikusstraße","49.4785739","8.4772581","0","B"
"251711","Grünewaldstraße","49.4783931","8.5092739","0","A"
"251821","Hans-Thoma-Straße","49.4752411","8.5243381","0","A"
