trip_id,arrival_time,departure_time,stop_sequence,stop_id
22-1-1-42120,11:51:00,11:51:15,7,427501
22-1-1-42120,11:52:00,11:52:15,8,427404
22-1-1-42120,11:53:00,11:53:15,9,427202
22-1-1-42120,11:55:00,11:55:15,10,679421
22-1-1-42120,11:56:00,11:56:15,11,679101
22-1-1-42120,11:58:00,11:58:15,12,119321
22-1-1-42120,12:00:00,12:00:15,13,116821
22-1-1-42120,12:01:00,12:01:15,14,114601
22-2-1022-47580,13:13:00,13:13:15,1,114602
22-2-1022-47580,13:14:00,13:14:15,2,116822
22-2-1022-47580,13:15:00,13:16:15,3,119322
22-2-1022-47580,13:17:00,13:17:15,4,679102
22-2-1022-47580,13:18:00,13:18:15,5,679422
22-2-1022-47580,13:20:00,13:20:15,6,427201
22-2-1022-47580,13:21:00,13:21:15,7,427403
22-2-1022-47580,13:23:00,13:23:15,8,427502
22-2-1022-47580,13:24:00,13:24:15,9,125202
22-2-1022-47580,13:25:00,13:25:15,10,125602
22-2-1022-47580,13:27:00,13:27:15,11,126102
22-2-1022-47580,13:29:00,13:29:15,12,69522
22-2-1022-47580,13:30:00,13:30:15,13,69702
22-2-1022-47580,13:32:00,13:32:15,14,69601
22-1-1-49320,13:42:00,13:42:15,1,69601
22-1-1-49320,13:44:00,13:44:15,2,69701
22-1-1-49320,13:45:00,13:45:15,3,69501
22-1-1-49320,13:47:00,13:48:15,4,126101
22-1-1-49320,13:49:00,13:49:15,5,125601
22-1-1-49320,13:50:00,13:50:15,6,125201
22-1-1-49320,13:51:00,13:51:15,7,427501
22-1-1-49320,13:52:00,13:52:15,8,427404
22-1-1-49320,13:53:00,13:53:15,9,427202
22-1-1-49320,13:55:00,13:55:15,10,679421
22-1-1-49320,13:56:00,13:56:15,11,679101
22-1-1-49320,13:58:00,13:58:15,12,119321
22-1-1-49320,14:00:00,14:00:15,13,116821
22-1-1-49320,14:01:00,14:01:15,14,114601
22-2-1022-54780,15:13:00,15:13:15,1,114602
22-2-1022-54780,15:14:00,15:14:15,2,116822
22-2-1022-54780,15:15:00,15:16:15,3,119322
22-2-1022-54780,15:17:00,15:17:15,4,679102
22-2-1022-54780,15:18:00,15:18:15,5,679422
22-2-1022-54780,15:20:00,15:20:15,6,427201
22-2-1022-54780,15:21:00,15:21:15,7,427403
22-2-1022-54780,15:23:00,15:23:15,8,427502
22-2-1022-54780,15:24:00,15:24:15,9,125202
22-2-1022-54780,15:25:00,15:25:15,10,125602
22-2-1022-54780,15:27:00,15:27:15,11,126102
22-2-1022-54780,15:29:00,15:29:15,12,69522
22-2-1022-54780,15:30:00,15:30:15,13,69702
22-2-1022-54780,15:32:00,15:32:15,14,69601
22-1-1-56520,15:42:00,15:42:15,1,69601
22-1-1-56520,15:44:00,15:44:15,2,69701
22-1-1-56520,15:45:00,15:45:15,3,69501
22-1-1-56520,15:47:00,15:48:15,4,126101
22-1-1-56520,15:49:00,15:49:15,5,125601
22-1-1-56520,15:50:00,15:50:15,6,125201
22-1-1-56520,15:51:00,15:51:15,7,427501
22-1-1-56520,15:52:00,15:52:15,8,427404
22-1-1-56520,15:53:00,15:53:15,9,427202
22-1-1-56520,15:55:00,15:55:15,10,679421
22-1-1-56520,15:56:00,15:56:15,11,679101
22-1-1-56520,15:58:00,15:58:15,12,119321
22-1-1-56520,16:00:00,16:00:15,13,116821
22-1-1-56520,16:01:00,16:01:15,14,114601
22-2-1022-61980,17:13:00,17:13:15,1,114602
22-2-1022-61980,17:14:00,17:14:15,2,116822
22-2-1022-61980,17:15:00,17:16:15,3,119322
22-2-1022-61980,17:17:00,17:17:15,4,679102
22-2-1022-61980,17:18:00,17:18:15,5,679422
22-2-1022-61980,17:20:00,17:20:15,6,427201
22-2-1022-61980,17:21:00,17:21:15,7,427403
22-2-1022-61980,17:23:00,17:23:15,8,427502
22-2-1022-61980,17:24:00,17:24:15,9,125202
22-2-1022-61980,17:25:00,17:25:15,10,125602
22-2-1022-61980,17:27:00,17:27:15,11,126102
22-2-1022-61980,17:29:00,17:29:15,12,69522
22-2-1022-61980,17:30:00,17:30:15,13,69702
22-2-1022-61980,17:32:00,17:32:15,14,69601
22-1-1-63720,17:42:00,17:42:15,1,69601
22-1-1-63720,17:44:00,17:44:15,2,69701
22-1-1-63720,17:45:00,17:45:15,3,69501
22-1-1-63720,17:47:00,17:48:15,4,126101
22-1-1-63720,17:49:00,17:49:15,5,125601
22-1-1-63720,17:50:00,17:50:15,6,125201
22-1-1-63720,17:51:00,17:51:15,7,427501
22-1-1-63720,17:52:00,17:52:15,8,427404
22-1-1-63720,17:53:00,17:53:15,9,427202
22-1-1-63720,17:55:00,17:55:15,10,679421
22-1-1-63720,17:56:00,17:56:15,11,679101
22-1-1-63720,17:58:00,17:58:15,12,119321
22-1-1-63720,18:00:00,18:00:15,13,116821
22-1-1-63720,18:01:00,18:01:15,14,114601
22-2-1022-69180,19:13:00,19:13:15,1,114602
22-2-1022-69180,19:14:00,19:14:15,2,116822
22-2-1022-69180,19:15:00,19:16:15,3,119322
22-2-1022-69180,19:17:00,19:17:15,4,679102
22-2-1022-69180,19:18:00,19:18:15,5,679422
22-2-1022-69180,19:20:00,19:20:15,6,427201
22-2-1022-69180,19:21:00,19:21:15,7,427403
22-2-1022-69180,19:23:00,19:23:15,8,427502
22-2-1022-69180,19:24:00,19:24:15,9,125202
22-2-1022-69180,19:25:00,19:25:15,10,125602
22-2-1022-69180,19:27:00,19:27:15,11,126102
22-2-1022-69180,19:29:00,19:29:15,12,69522
22-2-1022-69180,19:30:00,19:30:15,13,69702
22-2-1022-69180,19:32:00,19:32:15,14,69601
22-1-1-70920,19:42:00,19:42:15,1,69601
22-1-1-70920,19:44:00,19:44:15,2,69701
22-1-1-70920,19:45:00,19:45:15,3,69501
22-1-1-70920,19:47:00,19:48:15,4,126101
22-1-1-70920,19:49:00,19:49:15,5,125601
22-1-1-70920,19:50:00,19:50:15,6,125201
22-1-1-70920,19:51:00,19:51:15,7,427501
22-1-1-70920,19:52:00,19:52:15,8,427404
22-1-1-70920,19:53:00,19:53:15,9,427202
22-1-1-70920,19:55:00,19:55:15,10,679421
22-1-1-70920,19:56:00,19:56:15,11,679101
22-1-1-70920,19:58:00,19:58:15,12,119321
22-1-1-70920,20:00:00,20:00:15,13,116821
22-1-1-70920,20:01:00,20:01:15,14,114601
22-2-2022-76380,21:13:00,21:13:15,1,114602
22-2-2022-76380,21:14:00,21:14:15,2,116822
22-2-2022-76380,21:15:00,21:15:15,3,119322
22-2-2022-76380,21:16:00,21:16:15,4,679102
22-2-2022-76380,21:17:00,21:17:15,5,679422
22-2-2022-76380,21:19:00,21:19:15,6,427201
22-2-2022-76380,21:20:00,21:20:15,7,427403
22-2-2022-76380,21:22:00,21:22:15,8,427502
22-2-2022-76380,21:23:00,21:23:15,9,125202
22-2-2022-76380,21:24:00,21:24:15,10,125602
22-2-2022-76380,21:25:00,21:25:15,11,126102
22-2-2022-76380,21:27:00,21:27:15,12,69522
22-2-2022-76380,21:28:00,21:28:15,13,69702
22-2-2022-76380,21:30:00,21:30:15,14,69601
22-1-1-78120,21:42:00,21:42:15,1,69601
22-1-1-78120,21:44:00,21:44:15,2,69701
22-1-1-78120,21:45:00,21:45:15,3,69501
22-1-1-78120,21:47:00,21:48:15,4,126101
22-1-1-78120,21:49:00,21:49:15,5,125601
22-1-1-78120,21:50:00,21:50:15,6,125201
22-1-1-78120,21:51:00,21:51:15,7,427501
22-1-1-78120,21:52:00,21:52:15,8,427404
22-1-1-78120,21:53:00,21:53:15,9,427202
22-1-1-78120,21:55:00,21:55:15,10,679421
22-1-1-78120,21:56:00,21:56:15,11,679101
22-1-1-78120,21:58:00,21:58:15,12,119321
22-1-1-78120,22:00:00,22:00:15,13,116821
22-1-1-78120,22:01:00,22:01:15,14,114601
22-2-2022-84180,23:23:00,23:23:15,1,114602
22-2-2022-84180,23:24:00,23:24:15,2,116822
22-2-2022-84180,23:25:00,23:25:15,3,119322
22-2-2022-84180,23:26:00,23:26:15,4,679102
22-2-2022-84180,23:27:00,23:27:15,5,679422
22-2-2022-84180,23:29:00,23:29:15,6,427201
22-2-2022-84180,23:30:00,23:30:15,7,427403
22-2-2022-84180,23:32:00,23:32:15,8,427502
22-2-2022-84180,23:33:00,23:33:15,9,125202
22-2-2022-84180,23:34:00,23:34:15,10,125602
22-2-2022-84180,23:35:00,23:35:15,11,126102
22-2-2022-84180,23:37:00,23:37:15,12,69522
22-2-2022-84180,23:38:00,23:38:15,13,69702
22-2-2022-84180,23:40:00,23:40:15,14,69601
22-121-4-85920,23:52:00,23:52:15,1,69601
22-121-4-85920,23:53:00,23:53:15,2,69701
22-121-4-85920,23:54:00,23:54:15,3,69501
22-121-4-85920,23:56:00,23:56:15,4,126101
22-121-4-85920,23:57:00,23:57:15,5,125601
22-121-4-85920,23:58:00,23:58:15,6,125201
22-121-4-85920,23:59:00,23:59:15,7,427501
22-121-4-85920,24:00:00,00:00:15,8,427404
22-121-4-85920,24:01:00,00:01:15,9,427202
22-121-4-85920,24:03:00,00:03:15,10,679421
22-121-4-85920,24:04:00,00:04:15,11,679101
22-121-4-85920,24:06:00,00:06:15,12,119402
22-121-4-85920,24:07:00,00:07:15,13,116004
22-121-4-85920,24:08:00,00:08:15,14,114426
22-2-1022-19980,05:33:00,05:33:15,1,114602
22-2-1022-19980,05:34:00,05:34:15,2,116822
22-2-1022-19980,05:35:00,05:36:15,3,119322
22-2-1022-19980,05:37:00,05:37:15,4,679102
22-2-1022-19980,05:38:00,05:38:15,5,679422
22-2-1022-19980,05:40:00,05:40:15,6,427201
22-2-1022-19980,05:41:00,05:41:15,7,427403
22-2-1022-19980,05:43:00,05:43:15,8,427502
22-2-1022-19980,05:44:00,05:44:15,9,125202
22-2-1022-19980,05:45:00,05:45:15,10,125602
22-2-1022-19980,05:47:00,05:47:15,11,126102
22-2-1022-19980,05:49:00,05:49:15,12,69522
22-2-1022-19980,05:50:00,05:50:15,13,69702
22-2-1022-19980,05:52:00,05:52:15,14,69601
22-1-1-21720,06:02:00,06:02:15,1,69601
22-1-1-21720,06:04:00,06:04:15,2,69701
22-1-1-21720,06:05:00,06:05:15,3,69501
22-1-1-21720,06:07:00,06:08:15,4,126101
22-1-1-21720,06:09:00,06:09:15,5,125601
22-1-1-21720,06:10:00,06:10:15,6,125201
22-1-1-21720,06:11:00,06:11:15,7,427501
22-1-1-21720,06:12:00,06:12:15,8,427404
22-1-1-21720,06:13:00,06:13:15,9,427202
22-1-1-21720,06:15:00,06:15:15,10,679421
22-1-1-21720,06:16:00,06:16:15,11,679101
22-1-1-21720,06:18:00,06:18:15,12,119321
22-1-1-21720,06:20:00,06:20:15,13,116821
22-1-1-21720,06:21:00,06:21:15,14,114601
22-2-1022-27180,07:33:00,07:33:15,1,114602
22-2-1022-27180,07:34:00,07:34:15,2,116822
22-2-1022-27180,07:35:00,07:36:15,3,119322
22-2-1022-27180,07:37:00,07:37:15,4,679102
22-2-1022-27180,07:38:00,07:38:15,5,679422
22-2-1022-27180,07:40:00,07:40:15,6,427201
22-2-1022-27180,07:41:00,07:41:15,7,427403
22-2-1022-27180,07:43:00,07:43:15,8,427502
22-2-1022-27180,07:44:00,07:44:15,9,125202
22-2-1022-27180,07:45:00,07:45:15,10,125602
22-2-1022-27180,07:47:00,07:47:15,11,126102
22-2-1022-27180,07:49:00,07:49:15,12,69522
22-2-1022-27180,07:50:00,07:50:15,13,69702
22-2-1022-27180,07:52:00,07:52:15,14,69601
22-1-1-28920,08:02:00,08:02:15,1,69601
22-1-1-28920,08:04:00,08:04:15,2,69701
22-1-1-28920,08:05:00,08:05:15,3,69501
22-1-1-28920,08:07:00,08:08:15,4,126101
22-1-1-28920,08:09:00,08:09:15,5,125601
22-1-1-28920,08:10:00,08:10:15,6,125201
22-1-1-28920,08:11:00,08:11:15,7,427501
22-1-1-28920,08:12:00,08:12:15,8,427404
22-1-1-28920,08:13:00,08:13:15,9,427202
22-1-1-28920,08:15:00,08:15:15,10,679421
22-1-1-28920,08:16:00,08:16:15,11,679101
22-1-1-28920,08:18:00,08:18:15,12,119321
22-1-1-28920,08:20:00,08:20:15,13,116821
22-1-1-28920,08:21:00,08:21:15,14,114601
22-2-1022-34380,09:33:00,09:33:15,1,114602
22-2-1022-34380,09:34:00,09:34:15,2,116822
22-2-1022-34380,09:35:00,09:36:15,3,119322
22-2-1022-34380,09:37:00,09:37:15,4,679102
22-2-1022-34380,09:38:00,09:38:15,5,679422
22-2-1022-34380,09:40:00,09:40:15,6,427201
22-2-1022-34380,09:41:00,09:41:15,7,427403
22-2-1022-34380,09:43:00,09:43:15,8,427502
22-2-1022-34380,09:44:00,09:44:15,9,125202
22-2-1022-34380,09:45:00,09:45:15,10,125602
22-2-1022-34380,09:47:00,09:47:15,11,126102
22-2-1022-34380,09:49:00,09:49:15,12,69522
22-2-1022-34380,09:50:00,09:50:15,13,69702
22-2-1022-34380,09:52:00,09:52:15,14,69601
22-1-1-36120,10:02:00,10:02:15,1,69601
22-1-1-36120,10:04:00,10:04:15,2,69701
22-1-1-36120,10:05:00,10:05:15,3,69501
22-1-1-36120,10:07:00,10:08:15,4,126101
22-1-1-36120,10:09:00,10:09:15,5,125601
22-1-1-36120,10:10:00,10:10:15,6,125201
22-1-1-36120,10:11:00,10:11:15,7,427501
22-1-1-36120,10:12:00,10:12:15,8,427404
22-1-1-36120,10:13:00,10:13:15,9,427202
22-1-1-36120,10:15:00,10:15:15,10,679421
22-1-1-36120,10:16:00,10:16:15,11,679101
22-1-1-36120,10:18:00,10:18:15,12,119321
22-1-1-36120,10:20:00,10:20:15,13,116821
22-1-1-36120,10:21:00,10:21:15,14,114601
22-2-1022-41580,11:33:00,11:33:15,1,114602
22-2-1022-41580,11:34:00,11:34:15,2,116822
22-2-1022-41580,11:35:00,11:36:15,3,119322
22-2-1022-41580,11:37:00,11:37:15,4,679102
22-2-1022-41580,11:38:00,11:38:15,5,679422
22-2-1022-41580,11:40:00,11:40:15,6,427201
22-2-1022-41580,11:41:00,11:41:15,7,427403
22-2-1022-41580,11:43:00,11:43:15,8,427502
