route_id,trip_id,service_id,trip_short_name,start_time,end_time
22-852-22,22-852-3022-64980,309,22,18:03:00,18:31:00
22-851-22,22-851-1-66840,309,22,18:34:00,18:51:00
22-852-22,22-852-3022-72180,309,22,20:03:00,20:31:00
22-851-22,22-851-1-74040,309,22,20:34:00,20:51:00
22-854-22,22-854-1-18120,309,22,05:02:00,05:15:00
22-851-22,22-851-1-19440,309,22,05:24:00,05:41:00
22-852-22,22-852-3022-24780,309,22,06:53:00,07:21:00
22-851-22,22-851-1-26640,309,22,07:24:00,07:41:00
22-852-22,22-852-3022-31980,309,22,08:53:00,09:21:00
22-851-22,22-851-1-33840,309,22,09:24:00,09:41:00
22-852-22,22-852-3022-39180,309,22,10:53:00,11:21:00
22-851-22,22-851-1-41040,309,22,11:24:00,11:41:00
22-852-22,22-852-3022-46380,309,22,12:53:00,13:21:00
22-851-22,22-851-1-48240,309,22,13:24:00,13:41:00
22-852-22,22-852-3022-53580,309,22,14:53:00,15:21:00
22-851-22,22-851-1-55440,309,22,15:24:00,15:41:00
22-852-22,22-852-3022-60780,309,22,16:53:00,17:21:00
22-851-22,22-851-1-62640,309,22,17:24:00,17:41:00
22-852-22,22-852-3022-67980,309,22,18:53:00,19:21:00
22-851-22,22-851-1-69840,309,22,19:24:00,19:41:00
22-852-22,22-852-15-75180,309,22,20:53:00,21:10:00
22-851-22,22-851-1-77040,309,22,21:24:00,21:41:00
22-852-22,22-852-3022-22380,309,22,06:13:00,06:41:00
22-851-22,22-851-1-24240,309,22,06:44:00,07:01:00
22-852-22,22-852-3022-29580,309,22,08:13:00,08:41:00
22-851-22,22-851-1-31440,309,22,08:44:00,09:01:00
22-852-22,22-852-3022-36780,309,22,10:13:00,10:41:00
22-851-22,22-851-1-38640,309,22,10:44:00,11:01:00
22-852-22,22-852-3022-43980,309,22,12:13:00,12:41:00
22-851-22,22-851-1-45840,309,22,12:44:00,13:01:00
22-852-22,22-852-3022-51180,309,22,14:13:00,14:41:00
22-851-22,22-851-1-53040,309,22,14:44:00,15:01:00
22-852-22,22-852-3022-58380,309,22,16:13:00,16:41:00
22-851-22,22-851-1-60240,309,22,16:44:00,17:01:00
22-852-22,22-852-3022-65580,309,22,18:13:00,18:41:00
22-851-22,22-851-1-67440,309,22,18:44:00,19:01:00
22-852-22,22-852-3022-72780,309,22,20:13:00,20:41:00
22-851-22,22-851-1-74640,309,22,20:44:00,21:01:00
22-852-22,22-852-15-79980,309,22,22:13:00,22:30:00
22-851-22,22-851-1-81840,309,22,22:44:00,23:01:00
22-856-22,22-856-3022-18240,309,22,05:04:00,05:31:00
22-851-22,22-851-1-20040,309,22,05:34:00,05:51:00
22-852-22,22-852-3022-25380,309,22,07:03:00,07:31:00
22-851-22,22-851-1-27240,309,22,07:34:00,07:51:00
22-852-22,22-852-3022-32580,309,22,09:03:00,09:31:00
22-851-22,22-851-1-34440,309,22,09:34:00,09:51:00
22-852-22,22-852-3022-39780,309,22,11:03:00,11:31:00
22-851-22,22-851-1-41640,309,22,11:34:00,11:51:00
22-852-22,22-852-3022-46980,309,22,13:03:00,13:31:00
22-851-22,22-851-1-48840,309,22,13:34:00,13:51:00
22-852-22,22-852-3022-54180,309,22,15:03:00,15:31:00
22-851-22,22-851-1-56040,309,22,15:34:00,15:51:00
22-852-22,22-852-3022-61380,309,22,17:03:00,17:31:00
22-851-22,22-851-1-63240,309,22,17:34:00,17:51:00
22-852-22,22-852-3022-68580,309,22,19:03:00,19:31:00
22-851-22,22-851-1-70440,309,22,19:34:00,19:51:00
22-852-22,22-852-3022-19380,309,22,05:23:00,05:51:00
22-851-22,22-851-1-21240,309,22,05:54:00,06:11:00
22-852-22,22-852-3022-26580,309,22,07:23:00,07:51:00
22-851-22,22-851-1-28440,309,22,07:54:00,08:11:00
22-852-22,22-852-3022-33780,309,22,09:23:00,09:51:00
22-851-22,22-851-1-35640,309,22,09:54:00,10:11:00
22-852-22,22-852-3022-40980,309,22,11:23:00,11:51:00
22-851-22,22-851-1-42840,309,22,11:54:00,12:11:00
22-852-22,22-852-3022-48180,309,22,13:23:00,13:51:00
22-851-22,22-851-1-50040,309,22,13:54:00,14:11:00
22-852-22,22-852-3022-55380,309,22,15:23:00,15:51:00
22-851-22,22-851-1-57240,309,22,15:54:00,16:11:00
22-852-22,22-852-3022-62580,309,22,17:23:00,17:51:00
22-851-22,22-851-1-64440,309,22,17:54:00,18:11:00
22-852-22,22-852-3022-69780,309,22,19:23:00,19:51:00
22-851-22,22-851-1-71640,309,22,19:54:00,20:11:00
22-852-22,22-852-3022-22980,309,22,06:23:00,06:51:00
22-851-22,22-851-1-24840,309,22,06:54:00,07:11:00
22-852-22,22-852-3022-30180,309,22,08:23:00,08:51:00
22-851-22,22-851-1-32040,309,22,08:54:00,09:11:00
22-852-22,22-852-3022-37380,309,22,10:23:00,10:51:00
22-851-22,22-851-1-39240,309,22,10:54:00,11:11:00
22-852-22,22-852-3022-44580,309,22,12:23:00,12:51:00
22-851-22,22-851-1-46440,309,22,12:54:00,13:11:00
22-852-22,22-852-3022-51780,309,22,14:23:00,14:51:00
22-851-22,22-851-1-53640,309,22,14:54:00,15:11:00
22-852-22,22-852-3022-58980,309,22,16:23:00,16:51:00
